圃	pʰu˦˦˥$
圄	ȵy˨˨˧$
圆	ɦyœ̃˨˨˧$
圈	ʨyœ̃˦˦˥$
國	koʔ˥$
圍	ɦue˨˨˧$
園	ɦyœ̃˨˨˧$
圓	ɦyœ̃˨˨˧$
圖	du˨˨˧$
團	dœ̃˨˨˧$
土	tʰu˦˦˥$
在	ʣe˨˨˧$
圭	kue˦˦˥$
场	ʣã˨˨˧$
址	ʦɿ˦˦˥$
坂	pæ̃˦˦˥$
均	ʨyeŋ˦˦˥$
坊	fɔ̃˦˦˥$
坌	peŋ˦˦˥$
坍	tʰæ̃˦˦˥$
坎	kʰẽ˦˦˥$
坏	ɦua˨˨˧$
坐	zɷu˨˨˧$
坑	kʰã˦˦˥$
坒	bi˨˨˧$
块	kʰue˦˦˥$
坚	ʨiẽ˦˦˥$
坛	dæ̃˨˨˧$
坝	po˦˦˥$
坞	u˦˦˥$
坡	pʰɷu˦˦˥$
坤	kʰueŋ˦˦˥$
坦	tʰæ̃˦˦˥$
坪	beŋ˨˨˧$
坯	pʰe˦˦˥$
垂	ʣe˨˨˧$
垃	laʔ˨$
型	ɦieŋ˨˨˧$
垒	le˨˨˧$
垠	ȵieŋ˨˨˧$
垢	kiɤ˦˦˥$
垣	ɦyœ̃˨˨˧$
垦	kʰeŋ˦˦˥$
垫	diẽ˨˨˧$
垮	kʰuo˦˦˥$
垽	ȵieŋ˨˨˧$
埂	kã˦˦˥$
埃	e˦˦˥$
埋	ma˨˨˧$
埒	lɤʔ˨$
域	ɦoʔ˨$
埠	bu˨˨˧$
埭	da˨˨˧$
埮	dæ̃˨˨˧$
執	ʦeʔ˥$
培	be˨˨˧$
基	ʨi˦˦˥$
堂	dɔ̃˨˨˧$
堅	ʨiẽ˦˦˥$
堆	te˦˦˥$
堍	tʰu˦˦˥$
堞	deʔ˨$
堡	pɔ˦˦˥$
堯	ȵiɔ˨˨˧$
堰	iẽ˦˦˥$
場	ʣã˨˨˧$
堵	tu˦˦˥$
堿	kæ̃˦˦˥$
塊	kʰue˦˦˥$
塋	ɦieŋ˨˨˧$
塌	tʰaʔ˥$
塑	sʮ˦˦˥$
塔	tʰaʔ˥$
塗	du˨˨˧$
塘	dɔ̃˨˨˧$
塞	sa˦˦˥$
塢	u˦˦˥$
填	diẽ˨˨˧$
塳	boŋ˨˨˧$
塾	zoʔ˨$
境	ʨieŋ˦˦˥$
墊	diẽ˨˨˧$
墓	mu˨˨˧$
墙	ʥiã˨˨˧$
墟	ɕy˦˦˥$
墨	moʔ˨$
墩	tueŋ˦˦˥$
墾	kʰeŋ˦˦˥$
壁	peʔ˥$
壅	ioŋ˦˦˥$
壇	dæ̃˨˨˧$
壑	hoʔ˥$
壕	ɦɔ˨˨˧$
壘	le˨˨˧$
壞	ɦua˨˨˧$
壤	ȵiã˨˨˧$
壩	po˦˦˥$
士	zɿ˨˨˧$
壬	zeŋ˨˨˧$
壮	ʦɔ̃˦˦˥$
壯	ʦɔ̃˦˦˥$
声	sã˦˦˥$
壳	kʰoʔ˥$
壶	ɦu˨˨˧$
壹	ieʔ˥$
壺	ɦu˨˨˧$
壽	zɤ˨˨˧$
处	ʦʰʮ˦˦˥$
备	be˨˨˧$
复	voʔ˨$
夏	ɦo˨˨˧$
外	ŋa˨˨˧$
多	tɷu˦˦˥$
夜	ɦia˨˨˧$
够	kiɤ˦˦˥$
夠	kiɤ˦˦˥$
夢	moŋ˨˨˧$
夥	hɷu˦˦˥$
大	da˨˨˧$
天	tʰiẽ˦˦˥$
太	tʰa˦˦˥$
夫	fu˦˦˥$
夭	iɔ˦˦˥$
央	iã˦˦˥$
夯	hã˦˦˥$
失	seʔ˥$
头	dɤ˨˨˧$
夷	ɦi˨˨˧$
夸	kʰuo˦˦˥$
夹	kaʔ˥$
夺	døʔ˨$
夾	kaʔ˥$
奂	huœ̃˦˦˥$
奇	ʥi˨˨˧$
奊	leʔ˨$
奋	feŋ˦˦˥$
奎	kʰue˦˦˥$
奏	ʦɤ˦˦˥$
奐	huœ̃˦˦˥$
契	ʨʰi˦˦˥$
奔	peŋ˦˦˥$
奖	ʨiã˦˦˥$
套	tʰɔ˦˦˥$
奘	ʦɔ̃˦˦˥$
奚	ɦi˨˨˧$
奠	diẽ˨˨˧$
奢	so˦˦˥$
奤	pʰoʔ˥$
奪	døʔ˨$
奭	sɤʔ˥$
奮	feŋ˦˦˥$
女	ȵy˨˨˧$
奴	nu˨˨˧$
奸	kæ̃˦˦˥$
好	hɔ˦˦˥$
如	zʮ˨˨˧$
妃	fi˦˦˥$
妄	mɔ̃˨˨˧$
妆	ʦɔ̃˦˦˥$
妇	vu˨˨˧$
妈	ma˨˨˧$
妍	ȵiẽ˦˦˥$
妓	ʥi˨˨˧$
妖	iɔ˦˦˥$
妙	miɔ˨˨˧$
妝	ʦɔ̃˦˦˥$
妥	tʰɷu˦˦˥$
妨	fɔ̃˦˦˥$
妪	y˦˦˥$
妬	tu˦˦˥$
妯	ʥyoʔ˨$
妹	me˦˦˥$
妻	ʨʰi˦˦˥$
妾	ʨʰieʔ˥$
