㮸	soŋ˥$
局	ʥioʔ˨$
屁	pʰi˩˧$
屄	pi˥˧$
居	ʨy˥˧$
屈	ʨʰioʔ˥$
屋	oʔ˥$
屍	sɿ˥˧$
屎	sɿ˥˧$
屏	biən˧˩$
屐	ʥiəʔ˨$
屑	siəʔ˥$
展	ʦø˥$
属	zoʔ˨$
屠	du˧˩$
屡	ly˩˧$
屢	ly˩˧$
履	li˩˧$
屬	zoʔ˨$
屯	dən˥$
山	sɛ˥˧$
岁	sue˦˦˥$
岂	ʨʰi˩˧$
岐	ʥi˧˩$
岑	zən˧˩$
岔	ʦʰo˩˧$
岗	kɑ̃˥˧$
岙	ɔ˥$
岛	tɔ˥$
岡	kɑ̃˥˧$
岩	ŋø˧˩$
岭	liən˩˧$
岳	ŋoʔ˨$
岸	ŋø˩˧$
峡	jiaʔ˨$
峯	foŋ˥˧$
峰	foŋ˥˧$
島	tɔ˥$
峻	ʦiən˦˦˥$
峽	jiaʔ˨$
崇	zoŋ˧˩$
崑	kʰuən˥˧$
崔	ʦʰue˥˧$
崗	kɑ̃˥˧$
崙	lən˧˩$
崩	pən˥˧$
嵌	kʰɛ˩˧$
嵩	soŋ˥˧$
嶴	ɔ˥$
川	ʦʰø˥˧$
州	ʦəɯ˥˧$
巡	ziən˧˩$
巢	ziɔ˧˩$
工	koŋ˥˧$
左	ʦu˥$
巨	ʥy˩˧$
巫	vu˧˩$
差	ʦʰa˥˧$
己	ʨi˥$
巳	zɿ˩˧$
巴	po˥˧$
巷	iã˦˦˥$
巾	ʨiən˥˧$
币	bi˩˧$
市	zɿ˩˧$
布	pu˦˦˥$
帆	vɛ˧˩$
师	sɿ˥˧$
希	ɕi˥˧$
帏	ɦue˧˩$
帐	ʦã˦˦˥$
帘	lie˧˩$
帚	ʦəɯ˥$
帝	ti˦˦˥$
带	ta˦˦˥$
師	sɿ˥˧$
帮	pɑ̃˥˧$
帳	ʦã˦˦˥$
帶	ta˦˦˥$
常	zã˧˩$
帽	mɔ˩˧$
幃	ɦue˧˩$
幅	foʔ˥$
幕	moʔ˨$
幣	bi˩˧$
幫	pɑ̃˥˧$
干	kø˥˧$
平	biən˧˩$
年	ȵie˥˧$
并	biən˩˧$
幹	kø˦˦˥$
幺	iɔ˥˧$
幻	uɛ˦˦˥$
幼	iəɯ˦˦˥$
幽	iəɯ˥˧$
幾	ʨi˦˦˥$
广	kuɑ̃˥$
庄	ʦɑ̃˥˧$
庆	ʨʰiən˩˧$
庇	pi˦˦˥$
床	zɑ̃˥$
序	zy˩˧$
庐	lu˧˩$
库	kʰu˩˧$
应	iən˦˦˥$
底	ti˥$
店	tie˦˦˥$
庙	miɔ˩˧$
庚	kã˥˧$
府	fu˥$
庞	bɑ̃˧˩$
废	fi˦˦˥$
度	doʔ˨$
座	zu˩˧$
庫	kʰu˩˧$
庭	diən˧˩$
庶	sʮ˦˦˥$
康	kʰɑ̃˥˧$
庸	jioŋ˧˩$
廁	ʦʰɿ˩˧$
廂	siã˥˧$
廈	ɦo˩˧$
廉	lie˧˩$
廊	lɑ̃˧˩$
廓	kʰoʔ˥$
廚	zʮ˧˩$
廝	sɿ˥˧$
廟	miɔ˩˧$
廠	ʦʰã˩˧$
廢	fi˦˦˥$
廣	kuɑ̃˥$
廬	lu˧˩$
廳	tʰiən˥˧$
延	jie˧˩$
廷	diən˧˩$
