㞘底	toʔ˥ ti˥˧
下芡儿粉	ɦiɑ˩˧ ʨʰiɛ̃˥ əl˧˩ fen˥˧
下芡兒粉	ɦiɑ˩˧ ʨʰiɛ̃˥ əl˧˩ fen˥˧
下襬	ɦiɑ˩˧ pɛ˥˧
下課	ɦiɑ˩˧ kʰo˥
下课	ɦiɑ˩˧ kʰo˥
下趟	ɦiɑ˩˧ tʰɑŋ˥˧
下雾	ɦiɑ˩˧ ʔu˥
下霧	ɦiɑ˩˧ ʔu˥
不	pəʔ˥
不交口	pəʔ˥ ʨiɔ˧ kʰø˥˧
不会转弯	pəʔ˥ ɦui˩˧ ʦʮõ˥˧ ʔuõ˧
不來事	pəʔ˥ lɛ˧˩ zɿ˩˧
不來的	pəʔ˥ lɛ˧˩ ti
不倒翁	pəʔ˥ tɔ˥˧ ʔoŋ˧˩
不入調	pəʔ˥ zʮəʔ˥ diɔ˩˧
不入调	pəʔ˥ zʮəʔ˥ diɔ˩˧
不出趟	pəʔ˥ ʦʰʮəʔ˥ tʰɑŋ˥
不到門	pəʔ˥ tɔ˥ men˧˩
不到门	pəʔ˥ tɔ˥ men˧˩
不割捨	pəʔ˥ kɑʔ˥ sʮei˥˧
不割舍	pəʔ˥ kɑʔ˥ sʮei˥˧
不响	pəʔ˥ ɕiɑŋ˥˧
不客气	pəʔ˥ kʰɑ˥ ʨʰi˥
不客氣	pəʔ˥ kʰɑ˥ ʨʰi˥
不对头	pəʔ˥ tui˥ dei
不對頭	pəʔ˥ tui˥ dei
不尴不尬	pəʔ˥ kɛ̃˧ pəʔ˥ kɑ˧
不尷不尬	pəʔ˥ kɛ̃˧ pəʔ˥ kɑ˧
不开口	pəʔ˥ kʰɛ˧ kʰø˥˧
不得了	pəʔ˥ təʔ(或tə) liɔ˥˧
不接头埭	pəʔ˥ ʨiəʔ˥ dei˧˩ dɛ˩˧
不接頭埭	pəʔ˥ ʨiəʔ˥ dei˧˩ dɛ˩˧
不搭界的	pəʔ˥ tɑʔ˥ kɑʔ˨ ti
不會轉彎	pəʔ˥ ɦui˩˧ ʦʮõ˥˧ ʔuõ˧
不服	pəʔ˥ voʔ˨
不来事	pəʔ˥ lɛ˧˩ zɿ˩˧
不来的	pəʔ˥ lɛ˧˩ ti
不焦	pəʔ˥ ʨiɔ˧
不牢得	pəʔ˥ lɔ˧˩ tɛ
不牢靠	pəʔ˥ lɔ˧˩ kʰɔ˥
不犯着	pəʔ˥ vɛ̃˩˧ ʣɑʔ˨
不答应	pəʔ˥ tɑʔ˥ ʔin˧˩
不答應	pəʔ˥ tɑʔ˥ ʔin˧˩
不耐烦	pəʔ˥ nɛ˥ vɛ̃˧˩
不耐煩	pəʔ˥ nɛ˥ vɛ̃˧˩
不舒服	pəʔ˥ sʮ˧ voʔ˥
不要好坯	pəʔ˥ ʔiɔ˥ hɔ˥˧ pʰei˧˩
不要看	pəʔ˥ ʔiɔ˥ kʰɛ̃˧˩
不識字的	pəʔ˥ səʔ˥ zɿ˩˧ ti
不識相	pəʔ˥ səʔ˥ ɕiɑŋ˥
不识字的	pəʔ˥ səʔ˥ zɿ˩˧ ti
不识相	pəʔ˥ səʔ˥ ɕiɑŋ˥
不送得唻	pəʔ˥ soŋ˥ tɛ lɛ
不錯	pəʔ˥ ʦʰo˥
不错	pəʔ˥ ʦʰo˥
不開口	pəʔ˥ kʰɛ˧ kʰø˥˧
不響	pəʔ˥ ɕiɑŋ˥˧
与	y˥˧
丐	kᴇ˦˦˥
丐头	kɛ˧ dei˧˩
丐頭	kɛ˧ dei˧˩
丑	ʦʰei˥˧
专	ʦʮõ˧
专门	ʦʮõ˧ men˧
且	ʨʰi˥˧
丕	pʰei˧
世	sɿ˦˦˥
世交	sɿ˥ ʨiɔ˧˩
世面	sɿ˥ miɛ̃˧˩
丘	ʨʰiø˧
丘八佬儿	ʨiø˥˧ pɑʔ˥ lɔ˥˧ əl˧˩
丘八佬兒	ʨiø˥˧ pɑʔ˥ lɔ˥˧ əl˧˩
丘八老爷	ʨiø˥˧ pɑʔ˥ lɔ˥˧ ɦi˧˩
丘八老爺	ʨiø˥˧ pɑʔ˥ lɔ˥˧ ɦi˧˩
丙	pin˥˧
业	ȵiəʔ˨
丛	ʣoŋ˨˩˧
东	toŋ˧
东坡肉	toŋ˧ pʰo˧ zoʔ˨
东坡路	toŋ˧ pʰo˧ lu˧
东家	toŋ˧ ʨiɑ˧
东洋人	toŋ˧ ɦiɑŋ˧ zen˧
东西	toŋ˧ ɕi
东面	toŋ˧ miɛ̃˧
丝	sɿ˧
丝瓜儿	sɿ˧ kuɑ˧ əl˧
丝瓜筋	sɿ˧ kuɑ˧ ʨin˧
丝线	sɿ˧ ɕiɛ̃˧
丝绵	sɿ˧ miɛ̃˧
丝绵被	sɿ˧ miɛ̃˧ bi˩˧
丝绸	sɿ˧ ʣei˧
丝绸城	sɿ˧ ʣei˧ ʣen˨˩˧
丝袜儿	sɿ˧ mɑʔ˥ əl˧
丞	ʣen˨˩˧
丟	tiø˧
丢	tiø˧
两	liɑŋ˥˧
两个	liɑŋ˥˧ koʔ˥
两兄弟	liɑŋ˥˧ ɕioŋ˧ di˧
两叔伯姆	liɑŋ˥˧ soʔ˥ pɑʔ˥ m˧˩
两只手筒勒袖子管里	liɑŋ˥˧ ʦɑʔ˥ sei˥˧ doŋ˧˩ ləʔ˨ ʥiø˩˧ ʦɿ kuõ˥˧ li
两号	liɑŋ˥˧ ɦɔ˧˩
两响头	liɑŋ˥˧ ɕiɑŋ˧˩ dei
两夫妻	liɑŋ˥˧ fu˧ ʨʰi˧
两头春	liɑŋ˥˧ dei˧˩ ʦʰʮen˧˩
两样生的	liɑŋ˥˧ ʔiɑŋ˧˩ sen˧˩ ti
两点水	liɑŋ˥˧ tiɛ̃˧˩ sʮei˧˩
两用衫	liɑŋ˥˧ ʔioŋ˧˩ sɛ̃˧˩
两百五十	liɑŋ˥˧ pɑʔ˥ ʔu˥˧ zəʔ˨
两老伴儿	liɑŋ˥˧ lɔ˧˩ buõ˧˩ əl˧˩
两起生	liɑŋ˥˧ ʨʰi˧˩ sen˧
两面光	liɑŋ˥˧ miɛ̃˧˩ kuɑŋ˧˩
严	ȵiᴇ̃˨˩˧
