㒼	mũ˨˩˧
下八脚	ɦo˨˩˧ pɐʔ˥ ʨiã˧˥
下八腳	ɦo˨˩˧ pɐʔ˥ ʨiã˧˥
下劲道	o˥˧ ʥiŋ˨˩˧ dɔ˨˩˧
下勁道	o˥˧ ʥiŋ˨˩˧ dɔ˨˩˧
下半日	ɦo˨˩˧ pũ˦˦ ȵiɪʔ˩˨
下半日头	ɦo˨˩˧ pũ˦˦ ȵiɪʔ˩˨ dœʏ˨˦
下半日頭	ɦo˨˩˧ pũ˦˦ ȵiɪʔ˩˨ dœʏ˨˦
下回	ɦo˨˩˧ ɦuɐɪ˨˦
下大脸	ɦo˨˩˧ dəu˨˩˧ li˨˩˧
下大臉	ɦo˨˩˧ dəu˨˩˧ li˨˩˧
下头	ɦo˨˩˧ dœʏ˨˦
下巴兜	ɦo˨˩˧ po˥˧ tœʏ˥˧
下巴单	ɦo˨˩˧ po˥˧ tɛ˥˧
下巴單	ɦo˨˩˧ po˥˧ tɛ˥˧
下巴饞	ɦo˨˩˧ po˥˧ zɛ˨˦
下巴馋	ɦo˨˩˧ po˥˧ zɛ˨˦
下巴骨	ɦo˨˩˧ po˥˧ kuɐʔ˥
下巴骨弹落	ɦo˨˩˧ po˥˧ kuɐʔ˥ dɛ˨˩˧ loʔ˩˨
下巴骨彈落	ɦo˨˩˧ po˥˧ kuɐʔ˥ dɛ˨˩˧ loʔ˩˨
下底	ɦo˨˩˧ ti˧˥
下日	ɦo˨˩˧ ȵiɪʔ˩˨
下横头	ɦo˨˩˧ ɦuã˨˩˧ dœʏ˨˦
下橫頭	ɦo˨˩˧ ɦuã˨˩˧ dœʏ˨˦
下江	ɦo˨˩˧ kɔ̃˥˧
下点心	ɦo˨˩˧ te˥˧ ɕiŋ˥˧
下爿	ɦo˨˩˧ bɛ˨˦
下網	ɦo˨˩˧ mɔ̃˨˩˧
下网	ɦo˨˩˧ mɔ̃˨˩˧
下落	ɦo˨˩˧ loʔ˩˨
下遭	ɦo˨˩˧ ʦɔ˥˧
下遭子	ɦo˨˩˧ ʦɔ˥˧ ʦɿ˧˥
下阶沿	ɦo˨˩˧ ka˥˧ ɦi˨˦
下階沿	ɦo˨˩˧ ka˥˧ ɦi˨˦
下頂	ɦo˨˩˧ təŋ˧˥
下頭	ɦo˨˩˧ dœʏ˨˦
下顧	ɦo˨˩˧ ku˦˦
下顶	ɦo˨˩˧ təŋ˧˥
下顾	ɦo˨˩˧ ku˦˦
下飯	ɦo˨˩˧ vɛ˨˩˧
下饭	ɦo˨˩˧ vɛ˨˩˧
下點心	ɦo˨˩˧ te˥˧ ɕiŋ˥˧
下𪰻	ɦo˨˩˧ ʨʰiã˧˥
下𪰻裏	ɦo˨˩˧ ʨʰiã˧˥ li˨˩˧
下𪰻里	ɦo˨˩˧ ʨʰiã˧˥ li˨˩˧
不	pɐʔ˥
不剌	pɐʔ˥ lɐʔ˩˨
且可	ʨʰia˦˦ kʰəu˧˥
且是	ʨʰia˦˦ zɿ˨˩˧
且看	ʨʰia˦˦ kʰi˦˦
且顧	ʨʰia˦˦ ku˦˦
且顾	ʨʰia˦˦ ku˦˦
东	toŋ˥˧
东借西拽	toŋ˥˧ ʨia˦˦ ɕi˥˧ ɦiɪʔ˩˨
东西	toŋ˥˧ ɕi˥˧
丝流	sɿ˥˧ lʏ˨˦
两公婆	liã˨˩˧ koŋ˥˧ bəu˨˦
两公老婆	liã˨˩˧ koŋ˥˧ lɔ˨˩˧ bəu˨˦
两头两脑	liã˨˩˧ dœʏ˨˦ liã˨˩˧ nɔ˨˩˧
两头勿着	liã˨˩˧ dœʏ˨˦ vɐʔ˩˨ ʥiɐʔ˩˨
两头勿着港	liã˨˩˧ dœʏ˨˦ vɐʔ˩˨ ʥiɐʔ˩˨ kɔ̃˧˥
两娘	liã˨˩˧ ȵiã˨˦
两家婆	liã˨˩˧ ko˥˧ bəu˨˦
两爹	liã˨˩˧ tia˥˧
两用衫	liã˨˩˧ ɦyoŋ˨˩˧ sɛ˥˧
两结结	liã˨˩˧ ʨiɪʔ˥ ʨiɪʔ˥
两老	liã˨˩˧ lɔ˨˩˧
两老头	liã˨˩˧ lɔ˨˩˧ dœʏ˨˦
两隔生	liã˨˩˧ kɐʔ˥ sã˥˧
並	piŋ˧˥
个	ɦoʔ˩˨
个个郎	goʔ˩˨ goʔ˩˨ lɔ̃˨˦
个子头	kəu˦˦ ʦɿ˧˥ dœʏ˨˦
丫叉	o˥˧ ʦʰo˥˧
丫脸	o˥˧ li˨˩˧
丫脸捋落	o˥˧ li˨˩˧ lɐʔ˩˨ loʔ˩˨
丫脸犯落	o˥˧ li˨˩˧ vɛ˨˩˧ loʔ˩˨
丫脸黑仔	o˥˧ li˨˩˧ hɐʔ˥ ʦɿ˧˥
丫脸黑落	o˥˧ li˨˩˧ hɐʔ˥ loʔ˩˨
丫臉	o˥˧ li˨˩˧
丫臉捋落	o˥˧ li˨˩˧ lɐʔ˩˨ loʔ˩˨
丫臉犯落	o˥˧ li˨˩˧ vɛ˨˩˧ loʔ˩˨
丫臉黑仔	o˥˧ li˨˩˧ hɐʔ˥ ʦɿ˧˥
丫臉黑落	o˥˧ li˨˩˧ hɐʔ˥ loʔ˩˨
丫角乱经	o˥˧ koʔ˥ lø˨˩˧ ʨiŋ˥˧
丫角亂經	o˥˧ koʔ˥ lø˨˩˧ ʨiŋ˥˧
丫麻	o˥˧ mo˨˦
