坚	ʨiɪ˥$
坛	dɛ˨˩˧$
坝	po˦˨˧$
坞	u˥$
坟	vən˨˩˧$
坠	zuæi˨˦$
坡	pʰɤɯ˥$
坤	kʰuən˥$
坦	tʰɛ˧˦$
坪	bin˨˩˧$
坯	pʰæi˥$
坳	aɤ˦˨˧$
坼	ʦʰaʔ˥$
垂	zuæi˨˩˧$
垃	la˨˩˧$
垄	loŋ˧˦$
型	ɦin˨˩˧$
垛	tɤɯ˧˦$
垠	ɦin˨˩˧$
垢	kei˦˨˧$
垦	kʰən˧˦$
垫	diɪ˨˦$
垮	kʰua˧˦$
埂	kaŋ˧˦$
埃	æi˥$
埋	ma˨˩˧$
城	ʣən˨˩˧$
埔	pʰu˧˦$
域	ɦyəʔ˨$
埠	bu˨˦$
埢	ʨʰiɤ˥$
埭	da˨˦$
執	ʦəʔ˥$
培	bæi˨˩˧$
基	ʨi˥$
埿	ȵi˨˩˧$
堂	daŋ˨˩˧$
堅	ʨiɪ˥$
堆	tæi˥$
堍	tʰu˧˦$
堕	dɤɯ˨˦$
堡	paɤ˧˦$
堤	di˨˩˧$
堪	kʰɤ˥$
堯	ɦiaɤ˨˩˧$
堰	iɪ˦˨˧$
報	paɤ˦˨˧$
場	ʣaŋ˨˩˧$
堵	tu˧˦$
堿	kɛ˧˦$
塊	kʰuæi˦˨˧$
塌	tʰaʔ˥$
塑	sɔʔ˥$
塔	tʰaʔ˥$
塗	du˨˩˧$
塘	daŋ˨˩˧$
塞	səʔ˥$
塢	u˥$
填	diɪ˨˩˧$
塳	boŋ˨˦$
塵	ʣən˨˩˧$
塾	zɔʔ˨$
境	ʨin˦˨˧$
墅	zɿ˨˦$
墊	diɪ˨˦$
墓	mɤɯ˨˦$
墙	ziaŋ˨˩˧$
墜	zuæi˨˦$
增	ʦən˥$
墟	ɕy˥$
墡	zɤ˨˦$
墨	mɔʔ˨$
墩	tən˥$
墮	dɤɯ˨˦$
墳	vən˨˩˧$
墾	kʰən˧˦$
壁	piəʔ˥$
壅	ioŋ˥$
壇	dɛ˨˩˧$
壑	hɔʔ˥$
壓	aʔ˥$
壞	ɦua˨˦$
壟	loŋ˧˦$
壤	zaŋ˨˦$
壩	po˦˨˧$
士	zɿ˨˦$
壮	ʦuaŋ˦˨˧$
壯	ʦuaŋ˦˨˧$
声	sən˥$
壳	kʰɔʔ˥$
壶	ɦu˨˩˧$
壹	iəʔ˥$
壺	ɦu˨˩˧$
壽	zei˨˦$
处	ʦʰʮ˧˦$
备	bæi˨˦$
复	vɔʔ˨$
夏	ɦia˨˦$
夔	guæi˨˩˧$
夕	ziəʔ˨$
外	ɦua˨˦$
多	tɤɯ˥$
夜	ɦia˨˦$
够	kei˦˨˧$
夠	kei˦˨˧$
夢	moŋ˨˦$
夥	hɤɯ˧˦$
大	da˨˦$
天	tʰiɪ˥$
太	tʰa˦˨˧$
夫	fu˥$
夭	iaɤ˥$
央	iaŋ˥$
夯	haŋ˥$
失	səʔ˥$
头	dei˨˩˧$
夷	ɦi˨˩˧$
夸	kʰo˥$
夹	kaʔ˥$
夺	dəʔ˨$
夾	kaʔ˥$
奁	liɪ˨˦$
奇	ʥi˨˩˧$
奈	næi˨˦$
奉	voŋ˨˦$
奋	fən˦˨˧$
奎	kuæi˥$
奏	ʦei˦˨˧$
契	ʨʰi˧˦$
奔	pən˥$
奕	ɦiəʔ˨$
奖	ʦiaŋ˧˦$
套	tʰaɤ˦˨˧$
奠	diɪ˨˦$
奢	sa˥$
奥	aɤ˦˨˧$
奧	aɤ˦˨˧$
奩	liɪ˨˦$
奪	dəʔ˨$
奮	fən˦˨˧$
奯	huaʔ˥$
女	ȵy˧˦$
奴	nu˨˩˧$
奶	na˧˦$
奸	ʨiɪ˥$
她	tʰa˥$
好	haɤ˧˦$
如	zʮ˨˩˧$
妃	fi˥$
妆	ʦuaŋ˥$
妇	vu˨˦$
妈	ma˥$
妍	ȵiɪ˥$
妒	tu˦˨˧$
妓	ʥi˨˦$
妖	iaɤ˥$
妙	miaɤ˨˩˧$
妝	ʦuaŋ˥$
妣	pi˧˦$
妥	tʰɤɯ˧˦$
妩	fu˥$
妮	ȵi˨˩˧$
妯	ʣɔʔ˨$
妲	taʔ˥$
妹	mæi˨˦$
妻	ʦʰi˥$
妾	ʦʰiəʔ˥$
姆	m˥$
姊	ʦɿ˧˦$
始	sɿ˧˦$
姍	sɛ˥$
姐	ʦia˧˦$
姑	ku˥$
姓	sin˦˨˧$
委	uæi˧˦$
姗	sɛ˥$
姘	pʰin˥$
姚	ɦiaɤ˨˩˧$
姜	ʨiaŋ˥$
姣	ʨiaɤ˥$
姥	laɤ˧˦$
姨	ɦi˨˩˧$
姱	ɦu˨˦$
姻	in˥$
姿	ʦɿ˥$
威	uæi˥$
娃	ɦua˨˩˧$
娄	lei˨˩˧$
娅	ia˥$
娇	ʨiaɤ˥$
娈	lɤ˨˩˧$
娌	li˧˦$
娘	ȵiaŋ˨˩˧$
娛	ɦy˨˦$
娜	na˨˩˧$
娟	ʨiɤ˥$
娠	zən˨˩˧$
娩	miɪ˧˦$
娱	ɦy˨˦$
娴	ɦiɪ˨˩˧$
娶	ʦʰy˧˦$
娼	ʦʰaŋ˥$
婁	lei˨˩˧$
婆	bɤɯ˨˩˧$
婉	uɤ˧˦$
婊	piaɤ˧˦$
婚	huən˥$
婢	bi˨˦$
婦	vu˨˦$
婪	lɛ˨˩˧$
婭	ia˥$
婴	in˥$
婵	zɤ˨˩˧$
