㪕	ʨʰiɑʔ˥$
妥	tʰʌɤ˧˧˦$
妨	vɑŋ˨˨˧$
妹	me˧˩$
妻	ʦʰi˦˧˧$
妾	ʦʰiɪʔ˥$
姊	ʦɿ˧˧˦$
始	sɿ˧˧˦$
姐	ʦi˧˧˦$
姑	ku˦˧˧$
姓	siŋ˥˩$
委	ue˧˧˦$
姘	pʰiŋ˦˧˧$
姚	ɦiɒ˨˨˧$
姜	ʨiɪ̃˦˧˧$
姨	ɦi˨˨˧$
姻	iŋ˦˧˧$
姿	ʦɿ˦˧˧$
威	ue˦˧˧$
娇	ʨiɒ˦˧˧$
娘	ȵiɪ̃˨˨˧$
娛	ɦy˨˨˧$
娠	ɕiᴇŋ˦˧˧$
娩	miɪ̃˧˧˦$
娱	ɦy˨˨˧$
娶	ʦʰu˧˧˦$
婆	bu˨˨˧$
婚	huᴇŋ˦˧˧$
婢	bi˧˩$
婦	vu˧˩$
婴	iŋ˦˧˧$
婶	ɕiᴇŋ˧˧˦$
婿	si˥˩$
媒	me˨˨˧$
媚	me˧˩$
媳	siɪʔ˥$
媽	mɑ˥˩$
嫁	ko˥˩$
嫂	sɒ˧˧˦$
嫌	ɦiɪ̃˨˨˧$
嫖	biɒ˨˨˧$
嫡	tiɪʔ˥$
嫩	nᴇŋ˧˩$
嬉	ɕi˦˧˧$
嬌	ʨiɒ˦˧˧$
嬰	iŋ˦˧˧$
嬸	ɕiᴇŋ˧˧˦$
孀	ɕyɑŋ˦˧˧$
子	ʦɿ˧˧˦$
孔	kʰoŋ˧˧˦$
孕	ɦyŋ˧˩$
字	ʣɿ˧˩$
存	ʣᴇŋ˨˨˧$
孙	sᴇŋ˦˧˧$
孝	hɒ˥˩$
孟	moŋ˧˩$
季	ʨi˥˩$
